,scores_stratified_KFold,scores_cross_val,accuracy_score
B03_20m,0.3096774193548387,0.32258064516129037,0.34615384615384615
B04_20m,0.4387096774193548,0.38064516129032266,0.36538461538461536
B05_20m,0.34838709677419355,0.3225806451612903,0.28846153846153844
B06_20m,0.4387096774193548,0.27741935483870966,0.36538461538461536
B07_20m,0.30967741935483867,0.4258064516129032,0.36538461538461536
B8A_20m,0.33548387096774196,0.2838709677419355,0.34615384615384615
B11_20m,0.2193548387096774,0.2387096774193548,0.15384615384615385
B12_20m,0.3419354838709678,0.3290322580645162,0.3269230769230769
B08_10m,0.2967741935483871,0.3225806451612903,0.4423076923076923
B02_10m,0.2645161290322581,0.4387096774193548,0.11538461538461539
B04_10m,0.3935483870967742,0.3419354838709677,0.34615384615384615
B03_10m,0.367741935483871,0.4387096774193548,0.40384615384615385
B03_20m B04_20m,0.34838709677419355,0.3290322580645161,0.40384615384615385
B03_20m B05_20m,0.4193548387096774,0.367741935483871,0.28846153846153844
B03_20m B06_20m,0.3806451612903226,0.3161290322580645,0.5384615384615384
B03_20m B07_20m,0.3161290322580645,0.31612903225806455,0.46153846153846156
B03_20m B8A_20m,0.3032258064516129,0.2645161290322581,0.3269230769230769
B03_20m B11_20m,0.3935483870967742,0.3548387096774194,0.3076923076923077
B03_20m B12_20m,0.3483870967741936,0.3419354838709677,0.5192307692307693
B03_20m B08_10m,0.2903225806451613,0.27096774193548384,0.4230769230769231
B03_20m B02_10m,0.2903225806451613,0.2258064516129032,0.25
B03_20m B04_10m,0.33548387096774196,0.3225806451612903,0.34615384615384615
B03_20m B03_10m,0.31612903225806455,0.2967741935483871,0.38461538461538464
B04_20m B05_20m,0.3548387096774193,0.34838709677419355,0.3269230769230769
B04_20m B06_20m,0.38064516129032255,0.3225806451612903,0.4230769230769231
B04_20m B07_20m,0.2903225806451613,0.27741935483870966,0.34615384615384615
B04_20m B8A_20m,0.3419354838709678,0.4,0.4423076923076923
B04_20m B11_20m,0.3354838709677419,0.25161290322580643,0.34615384615384615
B04_20m B12_20m,0.34838709677419355,0.2451612903225806,0.38461538461538464
B04_20m B08_10m,0.2064516129032258,0.2903225806451613,0.3269230769230769
B04_20m B02_10m,0.2387096774193548,0.2,0.23076923076923078
