,scores_stratified_KFold,scores_cross_val,accuracy_score
B08_10m,0.8919354838709678,0.7241935483870968,0.8113207547169812
B02_10m,0.8536290322580646,0.7826612903225807,0.9245283018867925
B04_10m,0.7036290322580646,0.8536290322580646,0.9245283018867925
B03_10m,0.7538306451612904,0.8600806451612903,0.05660377358490566
B03_20m,0.8727822580645161,0.4858870967741936,0.8679245283018868
B04_20m,0.8663306451612904,0.7725806451612904,0.7358490566037735
B05_20m,0.7100806451612904,0.8725806451612904,0.03773584905660377
B06_20m,0.7050403225806452,0.5487903225806452,0.8867924528301887
B07_20m,0.8663306451612904,0.8663306451612904,0.8867924528301887
B8A_20m,0.8600806451612903,0.6987903225806452,0.9056603773584906
B11_20m,0.7165322580645161,0.8790322580645162,0.8490566037735849
B12_20m,0.6326612903225807,0.5616935483870968,0.8490566037735849
B08_10m B02_10m,0.7758064516129033,0.7112903225806452,0.8679245283018868
B08_10m B04_10m,0.717741935483871,0.7165322580645161,0.8490566037735849
B08_10m B03_10m,0.8102822580645161,0.8790322580645162,0.8490566037735849
B08_10m B03_20m,0.8209677419354838,0.717741935483871,0.8301886792452831
B08_10m B04_20m,0.7951612903225806,0.8602822580645162,0.8490566037735849
B08_10m B05_20m,0.7102822580645162,0.5941532258064517,0.8867924528301887
B08_10m B06_20m,0.5695564516129032,0.8663306451612904,0.8867924528301887
B08_10m B07_20m,0.8725806451612904,0.8919354838709678,0.7547169811320755
B08_10m B8A_20m,0.8401209677419356,0.9108870967741935,0.37735849056603776
B08_10m B11_20m,0.6973790322580646,0.7050403225806452,0.8867924528301887
B08_10m B12_20m,0.6725806451612903,0.7050403225806452,0.018867924528301886
B02_10m B04_10m,0.5465725806451613,0.7165322580645161,0.8113207547169812
B02_10m B03_10m,0.8725806451612904,0.5616935483870968,0.660377358490566
B02_10m B03_20m,0.6481854838709677,0.8294354838709678,0.6792452830188679
B02_10m B04_20m,0.8403225806451614,0.7100806451612904,0.8490566037735849
B02_10m B05_20m,0.8600806451612903,0.8225806451612904,0.8679245283018868
B02_10m B06_20m,0.8080645161290322,0.7887096774193549,0.09433962264150944
B02_10m B07_20m,0.7018145161290323,0.6538306451612904,0.8679245283018868
B02_10m B8A_20m,0.38629032258064516,0.7580645161290323,0.9056603773584906
B02_10m B11_20m,0.8475806451612904,0.7100806451612904,0.8679245283018868
B02_10m B12_20m,0.6487903225806452,0.5411290322580645,0.8679245283018868
B04_10m B03_10m,0.8227822580645162,0.716733870967742,0.8490566037735849
B04_10m B03_20m,0.5798387096774194,0.6288306451612904,0.9245283018867925
B04_10m B04_20m,0.717741935483871,0.717741935483871,0.8301886792452831
B04_10m B05_20m,0.8596774193548388,0.8163306451612904,0.8679245283018868
B04_10m B06_20m,0.711491935483871,0.840725806451613,0.8490566037735849
B04_10m B07_20m,0.6592741935483871,0.9108870967741935,0.7547169811320755
B04_10m B8A_20m,0.9044354838709678,0.5743951612903226,0.7735849056603774
B04_10m B11_20m,0.7036290322580646,0.5550403225806452,0.9245283018867925
B04_10m B12_20m,0.7245967741935484,0.8096774193548388,0.8867924528301887
B03_10m B03_20m,0.8790322580645162,0.636491935483871,0.8679245283018868
B03_10m B04_20m,0.7241935483870968,0.8727822580645161,0.8490566037735849
B03_10m B05_20m,0.729233870967742,0.7955645161290323,0.8679245283018868
B03_10m B06_20m,0.8165322580645162,0.6842741935483871,0.7924528301886793
B03_10m B07_20m,0.8080645161290324,0.7243951612903226,0.8679245283018868
B03_10m B8A_20m,0.7112903225806452,0.7820564516129033,0.7169811320754716
B03_10m B11_20m,0.8600806451612903,0.45625,0.9056603773584906
B03_10m B12_20m,0.8467741935483872,0.7788306451612904,0.8679245283018868
B03_20m B04_20m,0.705241935483871,0.6084677419354839,0.11320754716981132
B03_20m B05_20m,0.6455645161290323,0.8923387096774194,0.7358490566037735
B03_20m B06_20m,0.6006048387096775,0.8725806451612904,0.3584905660377358
B03_20m B07_20m,0.4514112903225806,0.7538306451612904,0.8679245283018868
B03_20m B8A_20m,0.6987903225806452,0.6909274193548387,0.9056603773584906
B03_20m B11_20m,0.8661290322580646,0.555241935483871,0.8301886792452831
B03_20m B12_20m,0.8790322580645162,0.7102822580645162,0.8490566037735849
B04_20m B05_20m,0.7540322580645162,0.7205645161290323,0.1320754716981132
B04_20m B06_20m,0.5568548387096774,0.7116935483870968,0.8867924528301887
B04_20m B07_20m,0.516733870967742,0.6278225806451613,0.9056603773584906
B04_20m B8A_20m,0.6231854838709678,0.53125,0.8490566037735849
B04_20m B11_20m,0.7038306451612903,0.5737903225806452,0.8867924528301887
B04_20m B12_20m,0.5300403225806452,0.7038306451612903,0.8867924528301887
B05_20m B06_20m,0.5868951612903226,0.5889112903225806,0.8867924528301887
B05_20m B07_20m,0.7723790322580646,0.4981854838709677,0.8867924528301887
B05_20m B8A_20m,0.8403225806451614,0.6403225806451613,0.8490566037735849
B05_20m B11_20m,0.8600806451612903,0.5129032258064516,0.7169811320754716
B05_20m B12_20m,0.7112903225806452,0.7435483870967742,0.2830188679245283
B06_20m B07_20m,0.5798387096774194,0.7048387096774194,0.8490566037735849
B06_20m B8A_20m,0.8016129032258064,0.36794354838709675,0.8679245283018868
B06_20m B11_20m,0.4814516129032258,0.8725806451612904,0.8679245283018868
B06_20m B12_20m,0.55,0.7225806451612903,0.8113207547169812
B07_20m B8A_20m,0.840725806451613,0.705241935483871,0.018867924528301886
B07_20m B11_20m,0.6832661290322581,0.6836693548387097,0.8113207547169812
B07_20m B12_20m,0.7308467741935484,0.5151209677419355,0.8867924528301887
B8A_20m B11_20m,0.5681451612903226,0.8340725806451612,0.7924528301886793
B8A_20m B12_20m,0.711491935483871,0.7641129032258065,0.8867924528301887
B11_20m B12_20m,0.9044354838709678,0.8919354838709678,0.7735849056603774
B08_10m B02_10m B04_10m,0.734475806451613,0.8725806451612904,0.8490566037735849
B08_10m B02_10m B03_10m,0.711491935483871,0.7377016129032258,0.8867924528301887
B08_10m B02_10m B03_20m,0.6413306451612903,0.6733870967741936,0.8679245283018868
B08_10m B02_10m B04_20m,0.7179435483870968,0.7975806451612903,0.7169811320754716
B08_10m B02_10m B05_20m,0.7951612903225806,0.7778225806451614,0.8679245283018868
B08_10m B02_10m B06_20m,0.6725806451612903,0.6326612903225807,0.7735849056603774
B08_10m B02_10m B07_20m,0.5159274193548387,0.729233870967742,0.8490566037735849
B08_10m B02_10m B8A_20m,0.853225806451613,0.7306451612903226,0.8301886792452831
B08_10m B02_10m B11_20m,0.5683467741935484,0.814717741935484,0.8867924528301887
B08_10m B02_10m B12_20m,0.7629032258064516,0.7951612903225806,0.6415094339622641
B08_10m B04_10m B03_10m,0.8352822580645162,0.8790322580645162,0.49056603773584906
B08_10m B04_10m B03_20m,0.8790322580645162,0.6534274193548387,0.8490566037735849
B08_10m B04_10m B04_20m,0.5727822580645162,0.5411290322580645,0.9245283018867925
B08_10m B04_10m B05_20m,0.8790322580645162,0.8274193548387098,0.8301886792452831
B08_10m B04_10m B06_20m,0.8080645161290322,0.885483870967742,0.8301886792452831
B08_10m B04_10m B07_20m,0.8409274193548388,0.8790322580645162,0.5660377358490566
B08_10m B04_10m B8A_20m,0.8336693548387096,0.7358870967741936,0.8113207547169812
B08_10m B04_10m B11_20m,0.8600806451612903,0.7241935483870968,0.8301886792452831
B08_10m B04_10m B12_20m,0.8538306451612904,0.8538306451612904,0.9245283018867925
B08_10m B03_10m B03_20m,0.6506048387096774,0.51875,0.8301886792452831
B08_10m B03_10m B04_20m,0.8078629032258065,0.7231854838709678,0.7924528301886793
B08_10m B03_10m B05_20m,0.7842741935483872,0.4963709677419355,0.8867924528301887
B08_10m B03_10m B06_20m,0.8725806451612904,0.885483870967742,0.8301886792452831
B08_10m B03_10m B07_20m,0.8794354838709678,0.6461693548387097,0.6415094339622641
B08_10m B03_10m B8A_20m,0.5504032258064516,0.675,0.2641509433962264
B08_10m B03_10m B11_20m,0.717741935483871,0.8102822580645161,0.5094339622641509
B08_10m B03_10m B12_20m,0.7725806451612904,0.8471774193548388,0.07547169811320754
B08_10m B03_20m B04_20m,0.8215725806451614,0.6925403225806452,0.8679245283018868
B08_10m B03_20m B05_20m,0.8661290322580646,0.8274193548387097,0.8679245283018868
B08_10m B03_20m B06_20m,0.6131048387096775,0.4975806451612904,0.9245283018867925
B08_10m B03_20m B07_20m,0.7828629032258065,0.6550403225806452,0.8301886792452831
B08_10m B03_20m B8A_20m,0.8082661290322581,0.7112903225806452,0.8679245283018868
B08_10m B03_20m B11_20m,0.7288306451612904,0.803225806451613,0.8113207547169812
B08_10m B03_20m B12_20m,0.7227822580645162,0.717741935483871,0.8490566037735849
B08_10m B04_20m B05_20m,0.8342741935483872,0.8471774193548388,0.11320754716981132
B08_10m B04_20m B06_20m,0.860483870967742,0.6153225806451613,0.8301886792452831
B08_10m B04_20m B07_20m,0.8725806451612904,0.7467741935483871,0.8679245283018868
B08_10m B04_20m B8A_20m,0.6016129032258065,0.8080645161290324,0.24528301886792453
B08_10m B04_20m B11_20m,0.6550403225806452,0.840725806451613,0.9433962264150944
B08_10m B04_20m B12_20m,0.7112903225806452,0.8596774193548388,0.8679245283018868
B08_10m B05_20m B06_20m,0.769758064516129,0.8278225806451613,0.9433962264150944
B08_10m B05_20m B07_20m,0.5679435483870968,0.7631048387096774,0.8867924528301887
B08_10m B05_20m B8A_20m,0.8600806451612903,0.6877016129032258,0.9056603773584906
B08_10m B05_20m B11_20m,0.8790322580645162,0.7247983870967742,0.8490566037735849
B08_10m B05_20m B12_20m,0.8211693548387098,0.7953629032258065,0.8867924528301887
B08_10m B06_20m B07_20m,0.7439516129032258,0.6735887096774194,0.9245283018867925
B08_10m B06_20m B8A_20m,0.5612903225806452,0.65625,0.8867924528301887
B08_10m B06_20m B11_20m,0.7953629032258065,0.679233870967742,0.8490566037735849
B08_10m B06_20m B12_20m,0.8600806451612903,0.7100806451612904,0.9056603773584906
B08_10m B07_20m B8A_20m,0.6298387096774194,0.3923387096774194,0.8679245283018868
B08_10m B07_20m B11_20m,0.7504032258064517,0.6987903225806452,0.05660377358490566
B08_10m B07_20m B12_20m,0.8790322580645162,0.8790322580645162,0.8490566037735849
B08_10m B8A_20m B11_20m,0.6685483870967742,0.9044354838709678,0.7735849056603774
B08_10m B8A_20m B12_20m,0.7080645161290322,0.7913306451612904,0.8679245283018868
B08_10m B11_20m B12_20m,0.8209677419354838,0.6778225806451613,0.8490566037735849
B02_10m B04_10m B03_10m,0.7225806451612904,0.7963709677419355,0.8867924528301887
B02_10m B04_10m B03_20m,0.8044354838709677,0.8790322580645162,0.6226415094339622
B02_10m B04_10m B04_20m,0.8534274193548388,0.8534274193548388,0.8867924528301887
B02_10m B04_10m B05_20m,0.859475806451613,0.7304435483870968,0.7735849056603774
B02_10m B04_10m B06_20m,0.8663306451612904,0.7165322580645161,0.8867924528301887
B02_10m B04_10m B07_20m,0.475,0.8661290322580646,0.4528301886792453
B02_10m B04_10m B8A_20m,0.4881048387096774,0.7415322580645162,0.8490566037735849
B02_10m B04_10m B11_20m,0.7568548387096775,0.7850806451612904,0.7169811320754716
B02_10m B04_10m B12_20m,0.8471774193548388,0.6925403225806452,0.9245283018867925
B02_10m B03_10m B03_20m,0.822983870967742,0.747983870967742,0.05660377358490566
B02_10m B03_10m B04_20m,0.55,0.6596774193548388,0.6037735849056604
B02_10m B03_10m B05_20m,0.7165322580645161,0.7352822580645162,0.05660377358490566
B02_10m B03_10m B06_20m,0.8600806451612903,0.8600806451612903,0.07547169811320754
B02_10m B03_10m B07_20m,0.8919354838709678,0.8919354838709678,0.8113207547169812
B02_10m B03_10m B8A_20m,0.8790322580645162,0.7038306451612903,0.8490566037735849
B02_10m B03_10m B11_20m,0.5564516129032258,0.7846774193548388,0.8301886792452831
B02_10m B03_10m B12_20m,0.8665322580645162,0.8665322580645162,0.8867924528301887
B02_10m B03_20m B04_20m,0.7038306451612903,0.8409274193548388,0.8867924528301887
B02_10m B03_20m B05_20m,0.8665322580645162,0.7088709677419355,0.8867924528301887
B02_10m B03_20m B06_20m,0.517741935483871,0.6923387096774194,0.9056603773584906
B02_10m B03_20m B07_20m,0.6727822580645162,0.5633064516129032,0.05660377358490566
B02_10m B03_20m B8A_20m,0.5177419354838709,0.885483870967742,0.8301886792452831
B02_10m B03_20m B11_20m,0.6653225806451613,0.7570564516129032,0.9245283018867925
B02_10m B03_20m B12_20m,0.6036290322580645,0.7600806451612904,0.8679245283018868
B02_10m B04_20m B05_20m,0.8663306451612904,0.5824596774193549,0.8867924528301887
B02_10m B04_20m B06_20m,0.7439516129032259,0.7183467741935484,0.6792452830188679
B02_10m B04_20m B07_20m,0.5931451612903226,0.5278225806451613,0.9056603773584906
B02_10m B04_20m B8A_20m,0.7227822580645162,0.7227822580645162,0.8490566037735849
B02_10m B04_20m B11_20m,0.9044354838709678,0.7366935483870968,0.7735849056603774
B02_10m B04_20m B12_20m,0.6794354838709677,0.7461693548387097,0.8867924528301887
B02_10m B05_20m B06_20m,0.8790322580645162,0.822983870967742,0.8301886792452831
B02_10m B05_20m B07_20m,0.8288306451612903,0.6780241935483872,0.22641509433962265
B02_10m B05_20m B8A_20m,0.5237903225806452,0.8225806451612904,0.9056603773584906
B02_10m B05_20m B11_20m,0.7538306451612904,0.661491935483871,0.8490566037735849
B02_10m B05_20m B12_20m,0.32318548387096774,0.7088709677419355,0.07547169811320754
B02_10m B06_20m B07_20m,0.4872983870967742,0.8080645161290322,0.8490566037735849
B02_10m B06_20m B8A_20m,0.8725806451612904,0.7713709677419356,0.8301886792452831
B02_10m B06_20m B11_20m,0.8725806451612904,0.7120967741935484,0.8679245283018868
B02_10m B06_20m B12_20m,0.7125,0.8663306451612904,0.8867924528301887
B02_10m B07_20m B8A_20m,0.6737903225806452,0.7179435483870968,0.8867924528301887
B02_10m B07_20m B11_20m,0.7826612903225807,0.8600806451612903,0.8301886792452831
B02_10m B07_20m B12_20m,0.5877016129032259,0.7951612903225806,0.5660377358490566
B02_10m B8A_20m B11_20m,0.458266129032258,0.7451612903225807,0.9433962264150944
B02_10m B8A_20m B12_20m,0.7826612903225807,0.4824596774193549,0.5660377358490566
B02_10m B11_20m B12_20m,0.815725806451613,0.7899193548387097,0.8867924528301887
B04_10m B03_10m B03_20m,0.885483870967742,0.8596774193548388,0.8301886792452831
B04_10m B03_10m B04_20m,0.7179435483870968,0.8223790322580646,0.8867924528301887
B04_10m B03_10m B05_20m,0.8471774193548388,0.6923387096774194,0.03773584905660377
B04_10m B03_10m B06_20m,0.8790322580645162,0.8403225806451612,0.8490566037735849
B04_10m B03_10m B07_20m,0.6951612903225807,0.6985887096774194,0.6981132075471698
B04_10m B03_10m B8A_20m,0.885483870967742,0.8794354838709678,0.8113207547169812
B04_10m B03_10m B11_20m,0.7540322580645162,0.6971774193548387,0.9056603773584906
B04_10m B03_10m B12_20m,0.8790322580645162,0.8467741935483872,0.8490566037735849
B04_10m B03_20m B04_20m,0.8163306451612904,0.603225806451613,0.8867924528301887
B04_10m B03_20m B05_20m,0.680241935483871,0.7352822580645162,0.8301886792452831
B04_10m B03_20m B06_20m,0.8600806451612903,0.8038306451612904,0.8679245283018868
B04_10m B03_20m B07_20m,0.739516129032258,0.572983870967742,0.8301886792452831
B04_10m B03_20m B8A_20m,0.8040322580645162,0.7822580645161291,0.8490566037735849
B04_10m B03_20m B11_20m,0.7838709677419355,0.8348790322580646,0.9245283018867925
B04_10m B03_20m B12_20m,0.7245967741935484,0.7245967741935484,0.9245283018867925
B04_10m B04_20m B05_20m,0.7181451612903227,0.8536290322580646,0.9245283018867925
B04_10m B04_20m B06_20m,0.6713709677419356,0.6983870967741936,0.8490566037735849
B04_10m B04_20m B07_20m,0.6584677419354839,0.6794354838709677,0.8490566037735849
B04_10m B04_20m B8A_20m,0.7165322580645161,0.8790322580645162,0.8490566037735849
B04_10m B04_20m B11_20m,0.6471774193548387,0.8536290322580646,0.9245283018867925
B04_10m B04_20m B12_20m,0.8663306451612904,0.846975806451613,0.8867924528301887
B04_10m B05_20m B06_20m,0.4977822580645161,0.8149193548387098,0.8867924528301887
B04_10m B05_20m B07_20m,0.7163306451612904,0.8274193548387098,0.4528301886792453
B04_10m B05_20m B8A_20m,0.7050403225806452,0.6340725806451613,0.8867924528301887
B04_10m B05_20m B11_20m,0.8663306451612904,0.8536290322580646,0.8867924528301887
B04_10m B05_20m B12_20m,0.8600806451612903,0.567741935483871,0.6226415094339622
B04_10m B06_20m B07_20m,0.6584677419354839,0.6487903225806452,0.8490566037735849
B04_10m B06_20m B8A_20m,0.8477822580645162,0.879233870967742,0.7169811320754716
B04_10m B06_20m B11_20m,0.8092741935483871,0.6258064516129033,0.8867924528301887
B04_10m B06_20m B12_20m,0.722983870967742,0.7826612903225807,0.8301886792452831
B04_10m B07_20m B8A_20m,0.7663306451612903,0.8600806451612903,0.9056603773584906
B04_10m B07_20m B11_20m,0.8790322580645162,0.563508064516129,0.8490566037735849
B04_10m B07_20m B12_20m,0.846975806451613,0.8276209677419356,0.8867924528301887
B04_10m B8A_20m B11_20m,0.7181451612903226,0.6737903225806452,0.9245283018867925
B04_10m B8A_20m B12_20m,0.7243951612903226,0.810483870967742,0.8301886792452831
B04_10m B11_20m B12_20m,0.7655241935483872,0.846975806451613,0.8679245283018868
B03_10m B03_20m B04_20m,0.8600806451612903,0.8725806451612904,0.8679245283018868
B03_10m B03_20m B05_20m,0.7637096774193549,0.8600806451612903,0.05660377358490566
B03_10m B03_20m B06_20m,0.7288306451612904,0.8014112903225806,0.8490566037735849
B03_10m B03_20m B07_20m,0.5824596774193548,0.7600806451612904,0.8867924528301887
B03_10m B03_20m B8A_20m,0.36370967741935484,0.6733870967741936,0.8301886792452831
B03_10m B03_20m B11_20m,0.6987903225806452,0.5375,0.9056603773584906
B03_10m B03_20m B12_20m,0.8598790322580646,0.7038306451612903,0.8867924528301887
B03_10m B04_20m B05_20m,0.717741935483871,0.7641129032258065,0.6415094339622641
B03_10m B04_20m B06_20m,0.885483870967742,0.75,0.8301886792452831
B03_10m B04_20m B07_20m,0.7112903225806452,0.7227822580645162,0.8490566037735849
B03_10m B04_20m B8A_20m,0.6631048387096774,0.8659274193548387,0.05660377358490566
B03_10m B04_20m B11_20m,0.7048387096774194,0.7034274193548387,0.8490566037735849
B03_10m B04_20m B12_20m,0.7245967741935484,0.7703629032258064,0.9056603773584906
B03_10m B05_20m B06_20m,0.7504032258064517,0.808467741935484,0.9056603773584906
B03_10m B05_20m B07_20m,0.6925403225806452,0.7227822580645162,0.8490566037735849
B03_10m B05_20m B8A_20m,0.7689516129032258,0.8028225806451612,0.7735849056603774
B03_10m B05_20m B11_20m,0.8080645161290322,0.8080645161290322,0.8679245283018868
B03_10m B05_20m B12_20m,0.8276209677419354,0.5868951612903226,0.8867924528301887
B03_10m B06_20m B07_20m,0.8080645161290322,0.8350806451612904,0.8679245283018868
B03_10m B06_20m B8A_20m,0.6463709677419356,0.6735887096774194,0.9245283018867925
B03_10m B06_20m B11_20m,0.847983870967742,0.655241935483871,0.8490566037735849
B03_10m B06_20m B12_20m,0.7211693548387097,0.7038306451612903,0.8301886792452831
B03_10m B07_20m B8A_20m,0.7413306451612904,0.8018145161290322,0.8867924528301887
B03_10m B07_20m B11_20m,0.7377016129032259,0.6794354838709677,0.8490566037735849
B03_10m B07_20m B12_20m,0.5487903225806452,0.6481854838709677,0.8113207547169812
B03_10m B8A_20m B11_20m,0.7846774193548388,0.6693548387096775,0.9433962264150944
B03_10m B8A_20m B12_20m,0.7036290322580646,0.7100806451612904,0.03773584905660377
B03_10m B11_20m B12_20m,0.74375,0.7840725806451614,0.7358490566037735
B03_20m B04_20m B05_20m,0.6538306451612903,0.8225806451612904,0.9056603773584906
B03_20m B04_20m B06_20m,0.605241935483871,0.885483870967742,0.1509433962264151
B03_20m B04_20m B07_20m,0.8725806451612904,0.548991935483871,0.8679245283018868
B03_20m B04_20m B8A_20m,0.577016129032258,0.6709677419354839,0.8490566037735849
B03_20m B04_20m B11_20m,0.4520161290322581,0.8600806451612903,0.8679245283018868
B03_20m B04_20m B12_20m,0.8169354838709678,0.5423387096774194,0.09433962264150944
B03_20m B05_20m B06_20m,0.698991935483871,0.8725806451612904,0.8490566037735849
B03_20m B05_20m B07_20m,0.8538306451612904,0.8405241935483871,0.8867924528301887
B03_20m B05_20m B8A_20m,0.7163306451612904,0.802016129032258,0.8867924528301887
B03_20m B05_20m B11_20m,0.6598790322580645,0.7145161290322581,0.8867924528301887
B03_20m B05_20m B12_20m,0.6393145161290323,0.7137096774193549,0.8867924528301887
B03_20m B06_20m B07_20m,0.4558467741935484,0.6691532258064516,0.8679245283018868
B03_20m B06_20m B8A_20m,0.7471774193548387,0.7157258064516129,0.49056603773584906
B03_20m B06_20m B11_20m,0.8598790322580646,0.8147177419354839,0.8867924528301887
B03_20m B06_20m B12_20m,0.8342741935483872,0.8471774193548388,0.9433962264150944
B03_20m B07_20m B8A_20m,0.6506048387096774,0.75,0.7924528301886793
B03_20m B07_20m B11_20m,0.648991935483871,0.6824596774193549,0.9245283018867925
B03_20m B07_20m B12_20m,0.7040322580645162,0.7840725806451613,0.8867924528301887
B03_20m B8A_20m B11_20m,0.8221774193548388,0.8471774193548388,0.9433962264150944
B03_20m B8A_20m B12_20m,0.8600806451612903,0.7310483870967743,0.018867924528301886
B03_20m B11_20m B12_20m,0.75,0.8018145161290322,0.8490566037735849
B04_20m B05_20m B06_20m,0.5298387096774194,0.5066532258064516,0.8867924528301887
B04_20m B05_20m B07_20m,0.8471774193548388,0.6278225806451613,0.9245283018867925
B04_20m B05_20m B8A_20m,0.8661290322580646,0.7568548387096774,0.8113207547169812
B04_20m B05_20m B11_20m,0.8276209677419356,0.5935483870967742,0.6415094339622641
B04_20m B05_20m B12_20m,0.6550403225806452,0.6352822580645162,0.8490566037735849
B04_20m B06_20m B07_20m,0.4675403225806451,0.6911290322580645,0.7735849056603774
B04_20m B06_20m B8A_20m,0.6600806451612904,0.548991935483871,0.8867924528301887
B04_20m B06_20m B11_20m,0.8790322580645162,0.8790322580645162,0.8490566037735849
B04_20m B06_20m B12_20m,0.3745967741935484,0.7048387096774194,0.8679245283018868
B04_20m B07_20m B8A_20m,0.5203629032258065,0.7830645161290323,0.9245283018867925
B04_20m B07_20m B11_20m,0.885483870967742,0.885483870967742,0.8301886792452831
B04_20m B07_20m B12_20m,0.5481854838709678,0.5826612903225807,0.33962264150943394
B04_20m B8A_20m B11_20m,0.7758064516129033,0.7100806451612904,0.3584905660377358
B04_20m B8A_20m B12_20m,0.8536290322580646,0.6715725806451613,0.9245283018867925
B04_20m B11_20m B12_20m,0.7048387096774194,0.7034274193548388,0.8490566037735849
B05_20m B06_20m B07_20m,0.6860887096774194,0.8600806451612903,0.8301886792452831
B05_20m B06_20m B8A_20m,0.8536290322580646,0.7036290322580646,0.9245283018867925
B05_20m B06_20m B11_20m,0.8528225806451614,0.7481854838709678,0.7735849056603774
B05_20m B06_20m B12_20m,0.815725806451613,0.840725806451613,0.9622641509433962
B05_20m B07_20m B8A_20m,0.6120967741935484,0.840725806451613,0.9622641509433962
B05_20m B07_20m B11_20m,0.8088709677419356,0.7243951612903226,0.8867924528301887
B05_20m B07_20m B12_20m,0.8725806451612904,0.8661290322580646,0.8679245283018868
B05_20m B8A_20m B11_20m,0.7891129032258065,0.7723790322580646,0.8113207547169812
B05_20m B8A_20m B12_20m,0.6340725806451613,0.8221774193548388,0.9433962264150944
B05_20m B11_20m B12_20m,0.7389112903225807,0.8227822580645162,0.8301886792452831
B06_20m B07_20m B8A_20m,0.814516129032258,0.6921370967741935,0.07547169811320754
B06_20m B07_20m B11_20m,0.6048387096774194,0.413508064516129,0.8490566037735849
B06_20m B07_20m B12_20m,0.8145161290322582,0.6709677419354839,0.8679245283018868
B06_20m B8A_20m B11_20m,0.6862903225806452,0.853225806451613,0.6226415094339622
B06_20m B8A_20m B12_20m,0.7245967741935484,0.8471774193548388,0.8679245283018868
B06_20m B11_20m B12_20m,0.8415322580645161,0.7241935483870968,0.8490566037735849
B07_20m B8A_20m B11_20m,0.5800403225806452,0.8274193548387097,0.6981132075471698
B07_20m B8A_20m B12_20m,0.5413306451612903,0.561491935483871,0.8867924528301887
B07_20m B11_20m B12_20m,0.8663306451612904,0.5631048387096774,0.8867924528301887
B8A_20m B11_20m B12_20m,0.6895161290322581,0.8663306451612904,0.18867924528301888
B08_10m B02_10m B04_10m B03_10m,0.7770161290322581,0.8790322580645162,0.8490566037735849
B08_10m B02_10m B04_10m B03_20m,0.8981854838709677,0.8981854838709677,0.09433962264150944
B08_10m B02_10m B04_10m B04_20m,0.7338709677419355,0.8536290322580646,0.9245283018867925
B08_10m B02_10m B04_10m B05_20m,0.8040322580645162,0.5977822580645162,0.07547169811320754
B08_10m B02_10m B04_10m B06_20m,0.5139112903225806,0.8405241935483871,0.8301886792452831
B08_10m B02_10m B04_10m B07_20m,0.6036290322580645,0.6858870967741936,0.9245283018867925
B08_10m B02_10m B04_10m B8A_20m,0.5516129032258064,0.8600806451612903,0.37735849056603776
B08_10m B02_10m B04_10m B11_20m,0.8790322580645162,0.6705645161290323,0.8490566037735849
