,scores_stratified_KFold,scores_cross_val,accuracy_score
B08_10m,0.5167338709677419,0.4268145161290322,0.7547169811320755
B02_10m,0.3852822580645161,0.20120967741935486,0.7547169811320755
B04_10m,0.20766129032258066,0.4362903225806451,0.7169811320754716
B03_10m,0.3044354838709677,0.3171370967741935,0.6792452830188679
B03_20m,0.5175403225806451,0.3818548387096774,0.6792452830188679
B04_20m,0.4423387096774193,0.20766129032258066,0.07547169811320754
B05_20m,0.05040322580645161,0.533266129032258,0.6792452830188679
B06_20m,0.3320564516129032,0.4804435483870968,0.4716981132075472
B07_20m,0.4397177419354838,0.5459677419354838,0.7169811320754716
B8A_20m,0.6084677419354838,0.2012096774193548,0.05660377358490566
B11_20m,0.3298387096774193,0.3044354838709677,0.6226415094339622
B12_20m,0.2189516129032258,0.4810483870967742,0.6415094339622641
B08_10m B02_10m,0.4421370967741935,0.5235887096774193,0.6415094339622641
B08_10m B04_10m,0.4268145161290322,0.4290322580645161,0.0
B08_10m B03_10m,0.4203629032258064,0.4558467741935484,0.5471698113207547
B08_10m B03_20m,0.545766129032258,0.4203629032258064,0.1509433962264151
B08_10m B04_20m,0.35221774193548383,0.45524193548387093,0.33962264150943394
B08_10m B05_20m,0.4711693548387097,0.22016129032258064,0.6981132075471698
B08_10m B06_20m,0.2401209677419355,0.3518145161290323,0.6415094339622641
B08_10m B07_20m,0.5423387096774193,0.2334677419354839,0.6792452830188679
B08_10m B8A_20m,0.2701612903225806,0.34879032258064513,0.6226415094339622
B08_10m B11_20m,0.3612903225806451,0.4237903225806451,0.1320754716981132
B08_10m B12_20m,0.5330645161290322,0.5205645161290322,0.7358490566037735
B02_10m B04_10m,0.3943548387096774,0.4840725806451613,0.07547169811320754
B02_10m B03_10m,0.22399193548387095,0.5199596774193548,0.1320754716981132
B02_10m B03_20m,0.33608870967741933,0.4584677419354838,0.11320754716981132
B02_10m B04_20m,0.6463709677419356,0.30483870967741933,0.5849056603773585
B02_10m B05_20m,0.42318548387096777,0.4487903225806451,0.3018867924528302
B02_10m B06_20m,0.238508064516129,0.520766129032258,0.2641509433962264
B02_10m B07_20m,0.4421370967741935,0.4175403225806452,0.5849056603773585
B02_10m B8A_20m,0.32963709677419356,0.4790322580645162,0.49056603773584906
B02_10m B11_20m,0.558266129032258,0.558266129032258,0.18867924528301888
B02_10m B12_20m,0.4296370967741935,0.4691532258064516,0.5849056603773585
B04_10m B03_10m,0.5522177419354838,0.2546370967741935,0.018867924528301886
B04_10m B03_20m,0.2951612903225806,0.3233870967741935,0.03773584905660377
B04_10m B04_20m,0.6455645161290322,0.4074596774193548,0.6415094339622641
B04_10m B05_20m,0.18810483870967742,0.5044354838709677,0.6415094339622641
B04_10m B06_20m,0.4233870967741935,0.539516129032258,0.7358490566037735
B04_10m B07_20m,0.4945564516129033,0.35181451612903225,0.6037735849056604
B04_10m B8A_20m,0.4580645161290322,0.5526209677419356,0.4716981132075472
B04_10m B11_20m,0.5328629032258064,0.2987903225806452,0.07547169811320754
B04_10m B12_20m,0.413508064516129,0.632258064516129,0.660377358490566
B03_10m B03_20m,0.5901209677419356,0.5776209677419356,0.18867924528301888
B03_10m B04_20m,0.2717741935483871,0.4834677419354838,0.16981132075471697
B03_10m B05_20m,0.4106854838709677,0.3358870967741935,0.660377358490566
B03_10m B06_20m,0.5455645161290322,0.4008064516129032,0.6226415094339622
B03_10m B07_20m,0.3866935483870968,0.5362903225806451,0.32075471698113206
B03_10m B8A_20m,0.5167338709677419,0.5612903225806452,0.1320754716981132
B03_10m B11_20m,0.4588709677419355,0.3600806451612903,0.09433962264150944
B03_10m B12_20m,0.4324596774193548,0.4752016129032258,0.1320754716981132
B03_20m B04_20m,0.5522177419354838,0.4614919354838709,0.6226415094339622
B03_20m B05_20m,0.5647177419354839,0.20483870967741935,0.6792452830188679
B03_20m B06_20m,0.6022177419354838,0.4784274193548387,0.09433962264150944
B03_20m B07_20m,0.5830645161290322,0.4169354838709677,0.3018867924528302
B03_20m B8A_20m,0.4163306451612903,0.6084677419354838,0.5660377358490566
B03_20m B11_20m,0.4296370967741935,0.12036290322580645,0.09433962264150944
B03_20m B12_20m,0.4909274193548387,0.4360887096774193,0.7169811320754716
B04_20m B05_20m,0.5506048387096774,0.4987903225806451,0.018867924528301886
B04_20m B06_20m,0.6391129032258064,0.3298387096774193,0.22641509433962265
B04_20m B07_20m,0.3084677419354839,0.3264112903225806,0.05660377358490566
B04_20m B8A_20m,0.3233870967741935,0.4818548387096774,0.7547169811320755
B04_20m B11_20m,0.4112903225806452,0.4879032258064516,0.07547169811320754
B04_20m B12_20m,0.3550403225806451,0.3423387096774193,0.09433962264150944
B05_20m B06_20m,0.4877016129032258,0.5397177419354839,0.5849056603773585
B05_20m B07_20m,0.5875,0.47721774193548383,0.6792452830188679
B05_20m B8A_20m,0.3076612903225806,0.42983870967741933,0.6792452830188679
B05_20m B11_20m,0.4383064516129032,0.4576612903225806,0.20754716981132076
B05_20m B12_20m,0.5191532258064516,0.4167338709677419,0.1320754716981132
B06_20m B07_20m,0.3983870967741935,0.3524193548387097,0.07547169811320754
B06_20m B8A_20m,0.3691532258064516,0.31754032258064513,0.11320754716981132
B06_20m B11_20m,0.29193548387096774,0.4211693548387097,0.16981132075471697
B06_20m B12_20m,0.5546370967741935,0.586491935483871,0.5660377358490566
B07_20m B8A_20m,0.3016129032258064,0.3425403225806452,0.03773584905660377
B07_20m B11_20m,0.4165322580645161,0.35624999999999996,0.6037735849056604
B07_20m B12_20m,0.3046370967741935,0.3165322580645161,0.6981132075471698
B8A_20m B11_20m,0.5235887096774193,0.21754032258064515,0.6981132075471698
B8A_20m B12_20m,0.3421370967741935,0.31108870967741936,0.09433962264150944
B11_20m B12_20m,0.4141129032258064,0.3042338709677419,0.0
B08_10m B02_10m B04_10m,0.36149193548387093,0.3278225806451613,0.03773584905660377
B08_10m B02_10m B03_10m,0.348991935483871,0.4522177419354838,0.6415094339622641
B08_10m B02_10m B03_20m,0.5485887096774194,0.39193548387096777,0.03773584905660377
B08_10m B02_10m B04_20m,0.2852822580645161,0.4173387096774193,0.7547169811320755
B08_10m B02_10m B05_20m,0.36149193548387093,0.48125,0.6981132075471698
B08_10m B02_10m B06_20m,0.4752016129032258,0.30806451612903224,0.6981132075471698
B08_10m B02_10m B07_20m,0.4616935483870967,0.2387096774193548,0.07547169811320754
B08_10m B02_10m B8A_20m,0.3483870967741935,0.4495967741935484,0.07547169811320754
B08_10m B02_10m B11_20m,0.4489919354838709,0.583266129032258,0.09433962264150944
B08_10m B02_10m B12_20m,0.4675403225806451,0.4487903225806452,0.6226415094339622
B08_10m B04_10m B03_10m,0.6195564516129032,0.34254032258064515,0.6415094339622641
B08_10m B04_10m B03_20m,0.4288306451612903,0.5461693548387097,0.6037735849056604
B08_10m B04_10m B04_20m,0.3004032258064516,0.2881048387096774,0.4528301886792453
B08_10m B04_10m B05_20m,0.4959677419354838,0.47379032258064513,0.18867924528301888
B08_10m B04_10m B06_20m,0.5076612903225806,0.32419354838709674,0.6792452830188679
B08_10m B04_10m B07_20m,0.2979838709677419,0.4485887096774193,0.6037735849056604
B08_10m B04_10m B8A_20m,0.6455645161290322,0.38649193548387095,0.6792452830188679
B08_10m B04_10m B11_20m,0.3717741935483871,0.33024193548387093,0.11320754716981132
B08_10m B04_10m B12_20m,0.4798387096774193,0.18205645161290324,0.7358490566037735
B08_10m B03_10m B03_20m,0.5310483870967742,0.39556451612903226,0.6037735849056604
B08_10m B03_10m B04_20m,0.2659274193548387,0.4618951612903226,0.6792452830188679
B08_10m B03_10m B05_20m,0.4362903225806452,0.4649193548387096,0.6226415094339622
B08_10m B03_10m B06_20m,0.5326612903225806,0.4106854838709677,0.2830188679245283
B08_10m B03_10m B07_20m,0.4647177419354838,0.4879032258064516,0.6037735849056604
