,scores_stratified_KFold,scores_cross_val,accuracy_score
B08_10m,0.5368951612903226,0.6868951612903226,0.03773584905660377
B02_10m,0.7231854838709678,0.6933467741935484,0.9056603773584906
B04_10m,0.8481854838709678,0.8223790322580646,0.3584905660377358
B03_10m,0.7141129032258065,0.6245967741935484,0.8490566037735849
B03_20m,0.8671370967741936,0.8671370967741936,0.8490566037735849
B04_20m,0.8608870967741936,0.8608870967741936,0.8679245283018868
B05_20m,0.7536290322580645,0.8296370967741936,0.8301886792452831
B06_20m,0.8608870967741936,0.7125,0.8679245283018868
B07_20m,0.4044354838709678,0.8481854838709678,0.9056603773584906
B8A_20m,0.841733870967742,0.841733870967742,0.1320754716981132
B11_20m,0.7963709677419355,0.8608870967741936,0.8679245283018868
B12_20m,0.7487903225806452,0.8987903225806452,0.7547169811320755
B08_10m B02_10m,0.7237903225806452,0.8862903225806452,0.7924528301886793
B08_10m B04_10m,0.7358870967741936,0.7600806451612904,0.8301886792452831
B08_10m B03_10m,0.7987903225806452,0.7550403225806452,0.16981132075471697
B08_10m B03_20m,0.7510080645161291,0.7171370967741936,0.8490566037735849
B08_10m B04_20m,0.59375,0.8608870967741936,0.11320754716981132
B08_10m B05_20m,0.7665322580645162,0.4483870967741936,0.07547169811320754
B08_10m B06_20m,0.6983870967741936,0.7481854838709678,0.8490566037735849
B08_10m B07_20m,0.7185483870967742,0.7129032258064516,0.7924528301886793
B08_10m B8A_20m,0.6921370967741935,0.8171370967741935,0.22641509433962265
B08_10m B11_20m,0.8608870967741936,0.8608870967741936,0.8679245283018868
B08_10m B12_20m,0.741733870967742,0.616733870967742,0.9245283018867925
B02_10m B04_10m,0.7471774193548387,0.7260080645161291,0.9245283018867925
B02_10m B03_10m,0.5953629032258065,0.4995967741935484,0.8679245283018868
B02_10m B03_20m,0.7237903225806452,0.7108870967741936,0.7924528301886793
B02_10m B04_20m,0.8481854838709678,0.7044354838709678,0.8679245283018868
B02_10m B05_20m,0.8669354838709677,0.8798387096774194,0.8113207547169812
